Home Team,Away Team,Date,Time,Game Week,Home Score,Away Score
21,1,15/09/2023,02:28,1,1,2
17,5,15/09/2023,02:28,1,2,2
11,16,15/09/2023,02:28,1,1,1
2,12,15/09/2023,02:28,1,3,0
18,22,15/09/2023,02:28,1,3,1
13,20,15/09/2023,02:28,1,2,3
15,7,15/09/2023,02:28,1,3,0
3,9,15/09/2023,02:28,1,0,1
10,19,15/09/2023,02:28,1,2,1
8,14,15/09/2023,02:28,1,5,0
17,11,15/09/2023,05:00,1,1,3
15,18,15/09/2023,05:00,1,0,0
12,10,15/09/2023,05:00,1,5,1
5,14,15/09/2023,05:00,1,0,1
20,16,15/09/2023,05:00,1,1,0
2,7,15/09/2023,05:00,1,1,1
13,1,15/09/2023,05:00,1,1,1
3,22,15/09/2023,05:00,1,2,1
9,19,15/09/2023,05:00,1,2,0
21,8,15/09/2023,05:00,1,0,3
11,8,15/09/2023,07:32,1,2,2
15,1,15/09/2023,07:32,1,5,0
20,13,15/09/2023,07:32,1,0,1
14,5,15/09/2023,07:32,1,0,3
2,19,15/09/2023,07:32,1,0,3
3,21,15/09/2023,07:32,1,0,0
17,7,15/09/2023,07:32,1,1,4
16,18,15/09/2023,07:32,1,2,1
10,9,15/09/2023,07:32,1,1,0
12,22,15/09/2023,07:32,1,1,1
2,12,15/09/2023,10:04,1,0,3
16,21,15/09/2023,10:04,1,0,1
8,17,15/09/2023,10:04,1,4,1
9,11,15/09/2023,10:04,1,1,1
3,19,15/09/2023,10:04,1,0,1
18,5,15/09/2023,10:04,1,3,0
20,15,15/09/2023,10:04,1,1,2
10,1,15/09/2023,10:04,1,0,1
14,13,15/09/2023,10:04,1,3,1
7,22,15/09/2023,10:04,1,3,2
11,18,15/09/2023,12:36,1,1,3
20,2,15/09/2023,12:36,1,1,0
22,13,15/09/2023,12:36,1,2,1
19,14,15/09/2023,12:36,1,1,2
7,16,15/09/2023,12:36,1,1,3
9,3,15/09/2023,12:36,1,0,3
17,5,15/09/2023,12:36,1,2,1
8,12,15/09/2023,12:36,1,1,1
15,10,15/09/2023,12:36,1,1,3
